Direction;StartTime;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;Duration;Angle;Session
BUY;15:15:00;1.16808;1.18934;213;0.0526;0.6431;-117.3469;0.7844;8985;1.42237;1
SELL;16:30:00;1.17307;1.15635;167;0.0448;0.1573;0;0.8135;13650;0.73407;1
SELL;07:30:00;1.14806;1.13018;179;0.0506;0.1415;5.7895;0.4285;9810;1.0948;0
SELL;21:00:00;1.11318;1.08337;298;0.0878;0.8942;-351.5152;0.7995;6135;2.91443;2
BUY;01:15:00;1.08919;1.10937;202;0.1143;0.7418;-267.2727;0.7357;1110;10.91892;0
SELL;19:15:00;1.059;1.03578;232;0.0942;0.6786;-166.6667;1.2708;4350;3.2;2
SELL;15:15:00;1.0761;1.04014;360;0.0936;0.2661;-239.6226;0.2918;6570;3.28767;1
BUY;16:30:00;0.99534;1.01939;241;0.101;0.7952;-56.4935;0.8983;5835;2.47815;1
BUY;10:30:00;0.96469;0.98405;194;0.1456;0.6008;-97.9592;0.4102;1470;7.91837;1
BUY;12:15:00;0.98133;1.00934;280;0.0998;0.2122;-294.3662;0.8058;3750;4.48;1
BUY;00:00:00;0.99099;1.00929;183;0.0976;0.3394;-245.283;0.8526;2640;4.15909;0
SELL;20:00:00;1.00929;0.99416;151;0.0995;0.7799;17.4863;0.8854;2415;3.75155;2
BUY;12:15:00;0.99416;1.03622;421;0.1525;0.3373;-178.8079;0.3391;2010;12.56716;1
BUY;19:15:00;1.02254;1.04463;221;0.0839;0.2309;-33.9394;0.7826;3570;3.71429;2
SELL;06:30:00;1.10245;1.06705;354;0.0821;0.3499;-60.181;0.4572;7845;2.70746;0
BUY;17:15:00;1.08337;1.10744;241;0.0532;0.1156;-77.2059;0.3636;5250;2.75429;2
SELL;04:15:00;1.08285;1.06775;151;0.0525;0.3358;-125.3731;0.4406;11880;0.76263;0
SELL;19:15:00;1.07366;1.04924;244;0.0587;0.3226;-139.2157;0.715;10185;1.43741;2
BUY;13:00:00;1.07105;1.09443;234;0.0368;0.3615;-260;0.5427;21600;0.65;1
SELL;13:00:00;1.09443;1.07777;167;0.0381;0.2965;28.6325;0.5777;21585;0.46421;1
BUY;12:45:00;1.07777;1.09967;219;0.0699;0.5977;-31.1377;0.8036;5970;2.20101;1
BUY;11:00:00;1.03399;1.05285;189;0.1064;0.5351;29.4776;0.6294;4605;2.46254;1
SELL;02:15:00;1.05246;1.03635;161;0.064;0.4631;-147.6923;0.5294;3990;2.42105;0
BUY;20:45:00;1.03635;1.0839;475;0.0942;0.609;-195.0311;1.7437;8415;3.38681;2
SELL;05:00:00;1.09167;1.07348;182;0.0624;0.2196;-250;0.5403;9855;1.10807;0
SELL;23:15:00;1.14236;1.12679;156;0.0827;0.5019;-69.5652;0.5663;4035;2.3197;2
SELL;17:15:00;1.12869;1.10744;212;0.0997;0.6382;-143.6782;1.3443;4095;3.10623;2
