LineLength;AvgDiff;LastCandlesDiff;PrevLineLength;MaxDeviation;DurationHours;BarsCount
93;0.0354;0.0602;53.0303;0.483;57.75;232
134;0.0383;0.0464;-44.086;0.4643;163.5;463
234;0.0384;0.0994;-74.6269;0.5943;337.25;966
128;0.0362;0.0356;45.2991;0.3108;238.75;572
67;0.038;0.0762;47.6563;0.3038;25.25;102
141;0.0371;0.0458;-110.4478;0.1663;140.5;371
52;0.0406;0.0795;63.1206;0.2593;56.5;227
68;0.0806;0.0193;-30.7692;0.0684;6.25;26
64;0.0504;0.0766;5.8824;0.1959;14.5;59
185;0.044;0.0315;-189.0625;0.6843;178.25;522
75;0.0421;0.0439;59.4595;0.3695;83.25;142
106;0.0406;0.0706;-41.3333;0.4154;45.75;184
54;0.0394;0.0326;49.0566;0.167;116.5;275
60;0.0401;0.0472;-11.1111;0.2308;35.25;142
140;0.0391;0.0628;-133.3333;0.6073;160;449
79;0.0393;0.0734;43.5714;0.4339;215.75;672
102;0.0657;0.0271;-29.1139;0.2058;14.5;59
152;0.0605;0.1164;-49.0196;0.6346;16.5;67
78;0.0448;0.0311;48.6842;0.4068;127.25;318
101;0.044;0.0685;-29.4872;0.2994;37;149
92;0.0451;0.0384;8.9109;0.286;88.25;162
327;0.0518;0.0757;-255.4348;0.949;189.5;567
94;0.0632;0.079;71.2538;0.3364;37.75;152
116;0.0504;0.0995;-23.4043;0.6129;19.5;79
63;0.1456;0.1262;45.6897;0.1153;2.75;12
129;0.0596;0.0811;-104.7619;0.4913;121.5;295
137;0.0524;0.0448;-6.2016;0.6075;52;209
67;0.0605;0.0884;51.0949;0.3076;65.75;72
117;0.0537;0.0683;-74.6269;0.3112;24;97
119;0.298;0.298;-1.7094;0.7611;1;5
93;0.0816;0.0912;21.8487;0.3139;23;93
80;0.0555;0.1517;13.9785;0.5179;48.5;195
52;0.08;0.066;35;0.0789;3.75;16
89;0.0478;0.0801;-71.1538;0.5045;90.5;171
119;0.0535;0.0333;-33.7079;0.4998;30.75;124
87;0.0406;0.0493;26.8908;0.1934;39.5;159
54;0.097;0.0721;37.931;0.2087;6.25;26
58;0.0354;0.0572;-7.4074;0.4168;63.25;62
60;0.0492;0.0654;-3.4483;0.4291;26.25;106
91;0.0506;0.0844;-51.6667;0.2615;31.75;128
128;0.063;0.1226;-40.6593;0.4883;18.5;75
