Direction;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;MaxImpulse;Duration;Angle
SELL;1.13556;1.11235;232;0.0505;0.3008;-329.6296;1.101;0.1458;9735;1.42989
BUY;1.09453;1.11323;187;0.0916;1.4653;-107.7778;1.1787;0.3184;1920;5.84375
SELL;1.11821;1.08771;305;0.0635;0.2645;-187.7358;0.7132;0.8013;8925;2.05042
SELL;1.06094;1.03868;223;0.0749;0.8182;-92.2414;0.67;0.283;4125;3.24364
BUY;0.99904;1.01939;203;0.0927;0.8041;-331.9149;0.9238;0.5836;5640;2.15957
BUY;1.01519;1.03551;203;0.0682;1.3023;-105.0505;1.3682;0.3725;7170;1.69874
BUY;0.99375;1.01093;172;0.1075;0.5117;-100;0.4417;0.4787;1095;9.42466
SELL;0.99252;0.96771;248;0.0993;0.5311;-213.9241;0.407;1.3249;7290;2.04115
SELL;1.00929;0.99416;151;0.0995;1.0671;-37.2727;0.8854;0.3278;2415;3.75155
BUY;0.99416;1.02155;274;0.1997;0.915;-81.457;0.6917;1.3087;660;24.90909
BUY;1.01663;1.03622;196;0.1386;0.8644;-300;0.382;0.3191;1080;10.88889
BUY;1.05134;1.06899;176;0.0949;0.6999;-188.5246;0.6306;0.8557;2940;3.59184
BUY;1.04904;1.08294;339;0.0828;1.0341;-143.8849;0.9412;1.3538;8715;2.33391
BUY;1.07257;1.09205;195;0.0628;0.1979;2.0101;0.6855;0.3402;9570;1.22257
BUY;1.079;1.09695;180;0.0738;0.7923;-37.4046;0.6619;0.6709;2100;5.14286
BUY;1.08398;1.12717;432;0.0545;0.2807;-657.8947;0.4127;1.1189;16830;1.54011
SELL;1.12717;1.10269;245;0.0584;0.4037;43.287;0.7002;0.6458;10455;1.40603
SELL;1.09448;1.06917;253;0.0525;0.2962;-57.1429;0.2523;0.9348;11520;1.31771
BUY;1.07358;1.1005;269;0.0642;0.911;-244.8718;1.6866;0.4425;8835;1.82683
BUY;1.06985;1.08848;186;0.0409;0.5988;-77.1429;0.6655;0.5327;11445;0.9751
BUY;1.07972;1.0972;175;0.041;0.5809;-212.5;0.7509;0.2213;11280;0.93085
SELL;1.09152;1.07223;193;0.0435;0.3446;-127.0588;0.6901;0.4081;10935;1.05898
SELL;1.12057;1.09011;305;0.0505;0.5015;-435.0877;0.4417;1.1473;14895;1.2286
SELL;1.08186;1.05014;317;0.0678;0.5899;-141.9847;1.0514;0.7607;9825;1.93588
SELL;1.04573;1.02458;212;0.073;1.073;-194.4444;1.0175;0.7201;4590;2.77124
SELL;1.04283;1.01868;241;0.0683;0.5262;-308.4746;0.4869;1.0739;8625;1.67652
SELL;1.10799;1.08838;196;0.2223;1.0487;-88.4615;0.0818;1.2599;3405;3.45374
BUY;1.093;1.1237;307;0.156;1.1526;-104.6667;1.1614;0.4258;1455;12.65979
SELL;1.13797;1.11998;180;0.0908;0.3281;-91.4894;0.6841;0.3916;3270;3.30275
